"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01",,"0.56","5.6","26.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02",,"3.33","5.3","33.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03",,"4.04","2.4","37.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04",,"3.15","0.0","49.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-05",,"2.01","0.0","61.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-06",,"3.04","0.0","70.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-07",,"0.54","0.0","77.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-08",,"2.57","0.0","77.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-09",,"1.61","0.0","70.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-10",,"1.93","0.0","58.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-11",,"3.84","0.0","48.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-12",,"2.56","2.3","35.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-01",,"2.31","11.6","27.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-02",,"4.77","0.2","34.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-03",,"3.17","2.8","38.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-04",,"2.91","3.2","47.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-05",,"2.61","0.0","59.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-06",,"1.71","0.0","72.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-07",,"3.19","0.0","77.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-08",,"4.35","0.0","76.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-09",,"3.72","0.0","71.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-10",,"3.28","0.0","63.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-11",,"4.07","0.0","47.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1971-12",,"1.47","0.1","42.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-01",,"1.75","1.7","36.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-02",,"4.90","10.3","33.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-03",,"4.09","2.8","40.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-04",,"3.32","0.0","49.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-05",,"5.03","0.0","61.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-06",,"6.70","0.0","68.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-07",,"2.60","0.0","77.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-08",,"0.43","0.0","74.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-09",,"1.49","0.0","69.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-10",,"5.00","0.0","54.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-11",,"9.51","0.0","46.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1972-12",,"4.25","0.0","41.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01",,"3.37","0.8","36.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02",,"2.61","0.8","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03",,"3.72","0.0","47.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04",,"6.98","0.0","54.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05",,"3.98","0.0","57.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06",,"5.25","0.0","69.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07",,"2.64","0.0","74.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08",,"0.84","0.0","75.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-09",,"3.03","0.0","67.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-10",,"2.26","0.0","57.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-11",,"1.42","0.0","45.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-12",,"5.96","0.5","37.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-01",,"2.83","6.7","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-02",,"1.41","10.5","31.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-03",,"4.60","4.1","42.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-04",,"2.33","0.0","52.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-05",,"2.69","0.0","59.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-06",,"2.38","0.0","67.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-07",,"1.29","0.0","76.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-08",,"4.24","0.0","75.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-09",,"5.98","0.0","66.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-10",,"2.19","0.0","54.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-11",,"1.11","0.2","47.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1974-12",,"6.07","0.0","39.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-01",,"5.06","0.6","37.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-02",,"3.57","8.8","35.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03",,"3.50","0.9","39.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04",,"3.13","0.0","47.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05",,"3.52","0.0","62.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-06",,"7.06","0.0","69.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-07",,"7.86","0.0","75.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-08",,"3.54","0.0","74.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-09",,"9.65","0.0","64.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-10",,"3.25","0.0","59.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-11",,"4.02","0.0","52.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-12",,"3.04","1.2","36.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-01",,"4.55","6.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-02",,"3.16","7.3","38.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-03",,"2.30","5.3","43.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-04",,"2.26","0.0","53.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-05",,"3.56","0.0","58.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-06",,"3.97","0.0","70.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-07",,"3.50","0.0","72.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-08",,"8.30","0.0","72.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-09",,"2.24","0.0","65.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-10",,"4.06","0.0","52.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-11",,"0.32","0.0","40.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1976-12",,"2.02","5.8","30.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-01",,"2.67","13.4","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-02",,"2.41","3.5","32.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-03",,"4.70","0.0","43.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-04",,"3.62","0.0","51.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-05",,"2.29","0.0","61.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-06",,"3.25","0.0","67.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-07",,"2.30","0.0","75.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-08",,"4.85","0.0","73.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-09",,"6.69","0.0","66.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-10",,"4.41","0.0","53.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-11",,"6.59","0.6","47.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1977-12",,"4.92","1.0","34.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-01",,"7.74","20.1","29.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-02",,"1.74","18.1","26.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-03",,"2.38","8.7","38.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-04",,"2.10","0.0","50.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-05",,"6.45","0.0","59.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-06",,"1.24","0.0","70.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-07",,"3.50","0.0","74.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-08",,"3.59","0.0","77.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-09",,"3.41","0.0","66.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-10",,"1.68","0.0","57.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-11",,"1.86","1.7","48.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1978-12",,"5.29","0.3","39.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-01",,"8.33","7.4","33.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-02",,"4.58","17.6","25.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-03",,"3.77","0.2","45.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-04",,"3.03","0.0","51.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-05",,"5.02","0.0","62.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-06",,"3.43","0.0","66.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-07",,"1.66","0.0","74.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-08",,"5.66","0.0","73.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-09",,"4.13","0.0","67.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-10",,"3.53","0.0","54.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-11",,"2.00","0.0","48.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1979-12",,"2.09","2.5","38.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-01",,"1.55","3.0","32.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-02",,"1.06","2.3","29.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-03",,"8.18","3.2","38.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-04",,"7.53","0.0","51.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-05",,"2.77","0.0","62.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-06",,"3.58","0.0","68.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-07",,"3.93","0.0","76.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-08",,"0.85","0.0","78.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-09",,"1.32","0.0","69.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-10",,"2.79","0.0","56.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-11",,"3.98","0.2","45.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1980-12",,"0.90","1.7","33.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-01",,"0.49","7.7","26.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-02",,"4.34","0.0","38.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-03",,"0.95","6.9","42.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-04",,"2.78","0.0","53.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-05",,"2.81","0.0","60.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-06",,"4.28","0.0","70.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-07",,"5.32","0.0","77.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-08",,"1.06","0.0","75.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-09",,"2.67","0.0","68.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-10",,"3.74","0.0","54.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-11",,"1.78","0.0","47.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1981-12",,"4.41","3.1","37.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-01",,"4.83","12.6","26.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-02",,"2.08","0.8","35.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-03",,"2.62","0.3","40.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-04",,"4.40","8.2","49.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-05",,"3.43","0.0","61.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-06",,"5.09","0.0","66.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-07",,"2.67","0.0","75.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-08",,"2.15","0.0","72.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-09",,"1.15","0.0","67.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-10",,"1.29","0.0","57.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-11",,"2.85","0.0","50.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1982-12",,"1.52","4.8","43.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-01",,"4.14","1.0","35.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-02",,"2.79","24.7","36.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-03",,"6.66","0.1","44.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-04",,"9.52","1.5","51.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-05",,"3.56","0.0","58.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-06",,"2.10","0.0","71.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-07",,"3.69","0.0","78.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-08",,"5.84","0.0","76.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-09",,"3.95","0.0","71.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-10",,"5.13","0.0","58.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-11",,"5.62","0.0","49.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1983-12",,"6.14","1.2","35.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-01","11.4","1.60","9.9","29.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-02","12.8","4.55","0.0","39.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-03","15.2","6.00","10.9","36.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-04","13.2","5.82","0.0","51.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-05","12.8","8.59","0.0","60.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-06","10.5","9.20","0.0","73.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-07","10.3","6.65","0.0","74.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-08","8.7","1.46","0.0","77.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-09","8.3","2.02","0.0","66.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-10","7.6","1.91","0.0","61.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-11","12.1","2.47","0.0","47.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1984-12","11.0","2.94","5.5","43.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-01","14.1","1.07","12.4","28.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-02","12.8","2.13","9.0","34.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-03","13.4","2.17","0.4","45.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-04","11.9","2.12","0.0","54.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-05","11.4","4.77","0.0","63.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-06","10.7","4.56","0.0","68.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-07","9.4","2.63","0.0","74.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-08","8.7","1.80","0.0","73.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-09","9.2","3.30","0.0","69.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-10","9.6","0.93","0.0","58.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-11","10.1","6.68","0.0","50.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1985-12","12.1","0.87","2.8","34.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-01","12.8","3.86","3.0","33.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-02","10.7","3.02","13.5","31.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-03","12.3","2.04","0.0","42.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-04","11.6","3.99","0.0","52.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-05","11.2","1.10","0.0","63.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-06","12.3","1.61","0.0","70.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-07","9.8","4.75","0.0","75.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-08","11.0","3.70","0.0","72.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-09","10.5","1.75","0.0","66.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-10","10.3","1.51","0.0","56.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-11","11.4","6.43","0.4","45.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1986-12","12.1","6.74","1.0","39.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-01","14.3","5.63","11.9","32.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-02","13.6","1.02","7.9","32.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-03","12.5","3.26","2.0","43.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-04","12.3","4.74","0.0","51.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-05","10.3","1.70","0.0","60.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-06","10.3","4.22","0.0","71.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-07","8.7","3.70","0.0","76.2"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-08","9.8","3.85","0.0","72.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-09","10.5","2.99","0.0","67.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-10","10.5","3.02","0.0","53.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-11","12.5","2.73","0.4","47.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1987-12","12.5","2.24","3.0","39.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1988-01","10.7","3.14","15.7","28.7"
